element,source_recipe_dir,source_filename,kind,library_family,library_name,cfour_name,label_suffix,cfour_label,status,note,cfour_file
Ag,recipes/Ag/ccECP,Ag.cc-pV5Z.gamess,basis,ccECP,cc-pV5Z,cc-pV5Z-ccECP,-ccECP,Ag:cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV5Z -> cc-pV5Z-ccECP,by_element/Ag/Ag.cc-pV5Z.cfour
Ag,recipes/Ag/ccECP,Ag.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,Ag:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/Ag/Ag.cc-pVDZ.cfour
Ag,recipes/Ag/ccECP,Ag.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,Ag:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/Ag/Ag.cc-pVQZ.cfour
Ag,recipes/Ag/ccECP,Ag.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,Ag:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/Ag/Ag.cc-pVTZ.cfour
Al,recipes/Al/ccECP,Al.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,Al:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/Al/Al.aug-cc-pV5Z.cfour
Al,recipes/Al/ccECP,Al.aug-cc-pV6Z.gamess,basis,ccECP,aug-cc-pV6Z,aug-cc-pV6Z-ccECP,-ccECP,Al:aug-cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV6Z -> aug-cc-pV6Z-ccECP,by_element/Al/Al.aug-cc-pV6Z.cfour
Al,recipes/Al/ccECP,Al.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,Al:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/Al/Al.aug-cc-pVDZ.cfour
Al,recipes/Al/ccECP,Al.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,Al:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/Al/Al.aug-cc-pVQZ.cfour
Al,recipes/Al/ccECP,Al.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,Al:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/Al/Al.aug-cc-pVTZ.cfour
Al,recipes/Al/ccECP,Al.cc-pV5Z.gamess,basis,ccECP,cc-pV5Z,cc-pV5Z-ccECP,-ccECP,Al:cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV5Z -> cc-pV5Z-ccECP,by_element/Al/Al.cc-pV5Z.cfour
Al,recipes/Al/ccECP,Al.cc-pV6Z.gamess,basis,ccECP,cc-pV6Z,cc-pV6Z-ccECP,-ccECP,Al:cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV6Z -> cc-pV6Z-ccECP,by_element/Al/Al.cc-pV6Z.cfour
Al,recipes/Al/ccECP,Al.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,Al:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/Al/Al.cc-pVDZ.cfour
Al,recipes/Al/ccECP,Al.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,Al:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/Al/Al.cc-pVQZ.cfour
Al,recipes/Al/ccECP,Al.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,Al:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/Al/Al.cc-pVTZ.cfour
Ar,recipes/Ar/ccECP,Ar.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,Ar:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/Ar/Ar.aug-cc-pV5Z.cfour
Ar,recipes/Ar/ccECP,Ar.aug-cc-pV6Z.gamess,basis,ccECP,aug-cc-pV6Z,aug-cc-pV6Z-ccECP,-ccECP,Ar:aug-cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV6Z -> aug-cc-pV6Z-ccECP,by_element/Ar/Ar.aug-cc-pV6Z.cfour
Ar,recipes/Ar/ccECP,Ar.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,Ar:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/Ar/Ar.aug-cc-pVDZ.cfour
Ar,recipes/Ar/ccECP,Ar.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,Ar:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/Ar/Ar.aug-cc-pVQZ.cfour
Ar,recipes/Ar/ccECP,Ar.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,Ar:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/Ar/Ar.aug-cc-pVTZ.cfour
Ar,recipes/Ar/ccECP,Ar.cc-pV5Z.gamess,basis,ccECP,cc-pV5Z,cc-pV5Z-ccECP,-ccECP,Ar:cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV5Z -> cc-pV5Z-ccECP,by_element/Ar/Ar.cc-pV5Z.cfour
Ar,recipes/Ar/ccECP,Ar.cc-pV6Z.gamess,basis,ccECP,cc-pV6Z,cc-pV6Z-ccECP,-ccECP,Ar:cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pV6Z -> cc-pV6Z-ccECP,by_element/Ar/Ar.cc-pV6Z.cfour
Ar,recipes/Ar/ccECP,Ar.cc-pVDZ.gamess,basis,ccECP,cc-pVDZ,cc-pVDZ-ccECP,-ccECP,Ar:cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVDZ -> cc-pVDZ-ccECP,by_element/Ar/Ar.cc-pVDZ.cfour
Ar,recipes/Ar/ccECP,Ar.cc-pVQZ.gamess,basis,ccECP,cc-pVQZ,cc-pVQZ-ccECP,-ccECP,Ar:cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVQZ -> cc-pVQZ-ccECP,by_element/Ar/Ar.cc-pVQZ.cfour
Ar,recipes/Ar/ccECP,Ar.cc-pVTZ.gamess,basis,ccECP,cc-pVTZ,cc-pVTZ-ccECP,-ccECP,Ar:cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pVTZ -> cc-pVTZ-ccECP,by_element/Ar/Ar.cc-pVTZ.cfour
As,recipes/As/ccECP,As.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,As:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/As/As.aug-cc-pV5Z.cfour
As,recipes/As/ccECP,As.aug-cc-pV6Z.gamess,basis,ccECP,aug-cc-pV6Z,aug-cc-pV6Z-ccECP,-ccECP,As:aug-cc-pV6Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV6Z -> aug-cc-pV6Z-ccECP,by_element/As/As.aug-cc-pV6Z.cfour
As,recipes/As/ccECP,As.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,As:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/As/As.aug-cc-pVDZ.cfour
